sofifa_id,long_name,short_name,overall
178562,Éver Maximiliano David Banega,E. Banega,83
179844,Diego da Silva Costa,Diego Costa,83
179846,Sami Khedira,S. Khedira,83
179944,David Luiz Moreira Marinho,David Luiz,83
183574,Max Kruse,M. Kruse,83
183711,Jordan Brian Henderson,J. Henderson,83
184484,Gylfi Þór Sigurðsson,G. Sigurðsson,83
186561,Aaron Ramsey,A. Ramsey,83
190584,Asier Illarramendi Andonegi,Illarramendi,83
190815,Daley Blind,D. Blind,83
190941,Lukáš Hrádecký,L. Hrádecký,83
192366,Nicolás Hernán Otamendi,N. Otamendi,83
193082,Juan Cuadrado,J. Cuadrado,83
193474,Idrissa Gana Gueye,I. Gueye,83
195365,Kevin Kampl,K. Kampl,83
198329,Rodrigo Moreno Machado,Rodrigo,83
199042,Charles Mariano Aránguiz Sandoval,C. Aránguiz,83
199451,Wissam Ben Yedder,W. Ben Yedder,83
199845,Francesco Acerbi,F. Acerbi,83
200888,Danilo Luís Hélio Pereira,Danilo Pereira,83
216354,Andrej Kramarić,A. Kramarić,83
230294,Lourival Adnan Beretta Barbosa,Louri Beretta,83
230375,Josué Durval Chiamulera Vaz,Josué Chiamulera,83
230481,Ronaldo Jailson Cabrais Petri,Ronaldo Cabrais,83
230142,Mikel Oyarzabal Ugarte,Oyarzabal,82
229906,Leon Bailey Butler,L. Bailey,82
230666,Gabriel Fernando de Jesus,Gabriel Jesus,82
207410,Mateo Kovačić,M. Kovačić,82
208596,Andrea Belotti,A. Belotti,82
212151,Thomas Strakosha,T. Strakosha,82
220971,Naby Keïta,N. Keïta,82
223959,Lucas Torreira Di Pascua,L. Torreira,82
224293,Rúben Diogo da Silva Neves,Rúben Neves,82
225850,Presnel Kimpembe,P. Kimpembe,82
225953,Steven Bergwijn,S. Bergwijn,82
226753,André Onana,A. Onana,82
227928,Nélson Cabral Semedo,Nélson Semedo,82
193105,Alphonse Areola,A. Areola,82
198009,Mattia Perin,M. Perin,82
211320,Daniele Rugani,D. Rugani,82
214997,Ángel Correa,A. Correa,82
216201,Iñaki Williams Arthuer,Iñaki Williams,82
221992,Hirving Rodrigo Lozano Bahena,H. Lozano,82
227055,Gelson Dany Batalha Martins,Gelson Martins,82
200726,Benjamin Lecomte,B. Lecomte,82
209989,Thomas Partey,T. Partey,82
211748,Kerem Demirbay,K. Demirbay,82
197061,Joël Andre Job Matip,J. Matip,82
202651,Jesús Joaquín Fernández Sáez,Suso,82
204639,Stefan Savić,S. Savić,82
205452,Antonio Rüdiger,A. Rüdiger,82
209960,Fernando Pacheco Flores,Pacheco,82
210243,Ricardo Barbosa Pereira,Ricardo Pereira,82
211256,Nicolás Alejandro Tagliafico,N. Tagliafico,82
223952,David Soria Solís,David Soria,82
178750,Sergio  Asenjo Andrés,Sergio Asenjo,82
189575,Iker Muniain Goñi,Muniain,82
192318,Mario Götze,M. Götze,82
193283,Thomas Delaney,T. Delaney,82
193698,Oliver Baumann,O. Baumann,82
195093,Willian José da Silva,Willian José,82
199564,Sergio Roberto Carnicer,Sergi Roberto,82
200536,Nico Schulz,N. Schulz,82
200610,Kevin Volland,K. Volland,82
200724,José Ignacio Fernández Iglesias,Nacho Fernández,82
201305,Gabriel Armando de Abreu,Gabriel Paulista,82
202562,Jérôme Roussillon,J. Roussillon,82
203263,Harry Maguire,H. Maguire,82
203486,Thorgan Hazard,T. Hazard,82
208448,Emil Forsberg,E. Forsberg,82
208574,Filip Kostić,F. Kostić,82
216409,Matteo Politano,M. Politano,82
216547,Rafael Alexandre Fernandes Ferreira da Silva,Rafa,82
24630,José Manuel  Reina Páez,Pepe Reina,82
53302,Daniele De Rossi,D. De Rossi,82
106231,Aritz Aduriz Zubeldia,Aduriz,82
146536,Jesús Navas González,Jesús Navas,82
146562,Santiago Cazorla González,Santi Cazorla,82
156519,Héctor Miguel Herrera López,H. Herrera,82
158963,Lucas Rodrigo Biglia,L. Biglia,82
164835,Łukasz Fabiański,L. Fabiański,82
168354,Emiliano Viviano,E. Viviano,82
178088,Juan Manuel Mata García,Juan Mata,82
178509,Olivier Giroud,O. Giroud,82
179645,Simon Thorup Kjær,S. Kjær,82
180403,Willian Borges da Silva,Willian,82
181786,Vedran Ćorluka,V. Ćorluka,82
